,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
9159,147.55,0.00524565,11890,10076208426.71,-25054053.3,-9964427630.43,86726742.98,-11166.72,94.8772,0.0,10011040349.22,0.0,-9982321401.5,152686936.72,54256.08,133.287,123967989.0,9982700791.09,0.0,-9971138150.74,15653704.65,2784.12,-0.010989,4091064.3
9160,149.33,0.00521134,7429,10076502066.38,-25416667.9,-9964427630.43,86657768.05,-68974.93,94.593,0.0,10011628817.95,0.0,-9982321401.5,153028386.55,341449.83,133.025,123720970.1,9981822355.22,0.0,-9971138150.74,15664902.28,11197.63,-0.0178768,4980697.8
9161,148.57,0.0052011,14915,10075928777.12,-25144036.07,-9964427630.43,86357110.62,-300657.43,92.3412,0.0,10011965772.39,0.0,-9982321401.5,154525316.64,1496930.09,132.994,124880945.75,9982069243.7,0.0,-9971138150.74,15725183.28,60281.0,-0.0750792,4794090.32
9162,148.52,0.00519991,28466,10075321424.45,-24412725.26,-9964427630.43,86481068.76,123958.14,94.4896,0.0,10011470145.28,0.0,-9982321401.5,153894058.58,-631258.06,133.79,124745314.8,9983172778.21,0.0,-9971138150.74,15701037.93,-24145.35,0.0263724,3666410.46
9163,148.44,0.00523103,8927,10075433305.42,-24517236.04,-9964427630.43,86488438.95,7370.19,95.3483,0.0,10013475827.76,0.0,-9982321401.5,153856600.58,-37458.0,134.312,122702174.32,9981058855.27,0.0,-9971138150.74,15699766.25,-1271.68,0.0394546,5779061.72
9164,149.14,0.00525141,15842,10076094833.1,-25166369.16,-9964427630.43,86500833.51,12394.56,95.6883,0.0,10013092988.18,0.0,-9982321401.5,153794799.24,-61801.34,132.994,123023212.56,9980783829.46,0.0,-9971138150.74,15696835.32,-2930.93,-0.0151682,6051156.6
9165,149.71,0.00519991,4380,10075497760.76,-24686100.22,-9964427630.43,86384030.11,-116803.4,96.0861,0.0,10012518781.58,0.0,-9982321401.5,154379248.5,584449.26,131.899,124181868.42,9981961596.39,0.0,-9971138150.74,15725677.45,28842.13,-0.0303825,4902231.8
9166,148.76,0.00515711,29476,10075214854.02,-24497346.72,-9964427630.43,86289876.87,-94153.24,94.0839,0.0,10012481189.88,0.0,-9982321401.5,154858187.81,478939.31,131.972,124698399.43,9982286813.28,0.0,-9971138150.74,15744609.83,18932.38,0.065106,4595947.29
9167,147.43,0.00515994,17169,10075046920.54,-24175880.16,-9964427630.43,86443409.95,153533.08,95.3989,0.0,10014670644.65,0.0,-9982321401.5,154071369.35,-786818.46,131.957,121722126.2,9980267842.25,0.0,-9971138150.74,15715445.47,-29164.36,0.00344068,6585753.96
9168,147.47,0.00515934,16557,10074882432.98,-23797560.88,-9964427630.43,86657241.67,213831.72,94.4696,0.0,10013586011.3,0.0,-9982321401.5,152987240.7,-1084128.65,131.36,121722630.9,9981519112.57,0.0,-9971138150.74,15656891.81,-58553.66,0.061911,5275929.98
