,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
15,15,5.368308149291482,-471.940712358887,0.7298374370595692,76,22,2,6.197368421052632,14.318181818181818,19.0,134.94258930795502,176.45089347579818,3.817773937947338,0.0,-0.7721883393136615,0.9971760360178674,-0.3601170266966763,33
16,16,8.070768919424133,0.006368163115435976,0.9069149128577526,66,30,4,6.136363636363637,14.566666666666666,16.0,138.05135336755467,205.2773830281461,8.560935229927669,0.0,-0.7938282029486898,1.0011325271364628,1.0289620015163385,19
17,17,11.622684286611195,-0.002926233590415883,1.065306440983223,68,31,1,6.1911764705882355,14.451612903225806,18.0,137.52052495629061,195.6630420208672,14.095652947893326,10.000396825396825,-0.783356650221495,0.9994875511539909,-0.45551901698550884,4
18,18,13.183844289175587,-0.0016480115870276535,1.1200420650484926,72,27,1,6.263888888888889,14.518518518518519,13.0,136.32523114960992,183.76665564413435,14.863848466048843,0.0,-0.7677652005280698,0.9982337232955213,-0.3526933740382739,9
19,19,12.255187889653756,-0.0016389394318907513,1.0883199739980773,67,33,0,6.1940298507462686,14.606060606060606,0.0,136.4689333214494,196.77172577549558,14.035991066264742,0.0,-0.762912910692514,0.9934992147025916,-1.275641264720343,13
20,20,13.414713329442563,-0.002888343159426654,1.1275813962944672,71,29,0,6.267605633802817,14.586206896551724,0.0,136.26518946585114,185.74376128220638,15.127996398222793,0.0,-0.7553149833609294,0.9945044068426395,0.24689740982980884,11
21,21,12.512218398685118,0.0017870871071576921,1.0973343163196736,64,33,3,6.28125,14.575757575757576,19.0,136.29660078129677,204.6754972303885,16.07358349650954,0.0,-0.749795899629435,0.986686191892736,-2.1007273472609884,16
22,22,21.083815099200585,0.00013773824733931406,1.3239491988847432,81,15,4,6.382716049382716,14.2,13.75,134.4334935911745,163.94081670000372,10.942880427810007,0.0,-0.7389329520844282,0.9844402818667113,-0.6230215344166883,31
23,23,16.175851778301915,-0.02002780911674762,1.2088671587612372,92,5,3,6.163043478260869,16.8,14.333333333333334,136.80825435745987,148.70462430158682,0.0,0.0,-0.7522938120790935,0.9898749178790708,1.4398043761852368,19
24,24,12.518539139495571,0.0019132187166341907,1.0975536515043702,97,1,2,6.11340206185567,17.0,19.5,126.61770855174484,130.53372015643797,0.0,0.0,-0.6657894902695745,0.9864416166189065,-0.9384491097941253,8
25,25,6.259269569747786,-746.742399565373,0.7965236558403891,80,14,6,6.2125,14.857142857142858,14.833333333333334,88.91570763521023,111.0073757794109,0.7843357977248546,0.0,-0.36282388170875757,0.9805527264642244,-1.600260551367123,35
26,26,7.569586041778879,0.005836475174253231,0.8790721298716853,74,22,4,6.202702702702703,15.181818181818182,15.75,90.72035057854781,120.3520043255605,7.09028822445023,2.5000992063492062,-0.37422161615927757,0.9781344395964852,-0.6732996892957704,20
27,27,10.449088655453956,0.00025494362256006653,1.0190784139717646,73,23,4,6.287671232876712,15.130434782608695,13.5,91.08527505289767,120.66475223326776,12.608686895420783,2.5001984166351723,-0.374148121255296,0.978232989540138,0.00586510724267106,9
28,28,11.787849247294591,-0.006370835390111296,1.0714345730985917,73,24,3,6.273972602739726,15.375,14.333333333333334,90.15338338769762,118.53236973242912,13.853056838675299,10.000661391408622,-0.3690844636200696,0.9803441102214799,0.5501869052800386,4
29,29,13.558666381282308,-0.004750455312333202,1.1322169748014645,75,25,0,6.226666666666667,15.36,0.0,89.29507390749181,114.16304016993311,14.691175120167768,0.0,-0.35941288227153606,0.9791874488870316,-0.3329512202048563,3
30,30,12.691032434486123,-0.00105680417867271,1.1034969540380886,64,32,4,6.4375,15.5625,15.25,88.39020250852478,132.00130350049974,12.216775838140522,0.0,-0.34968336184313464,0.9749662847134621,-1.1613445010794614,15
31,31,13.338501991611226,-0.009257313271284318,1.1251070579682427,60,39,1,6.516666666666667,15.666666666666666,13.0,89.82806511059238,141.48478699215144,12.403048582173275,10.000396825396825,-0.40897136477661655,0.9790181081544724,1.078745598505214,12
32,32,12.692424895963889,0.00023750670574873567,1.1035446022625828,51,47,2,6.490196078431373,15.340425531914894,16.5,88.92827489266232,163.42096008546739,11.87996861505101,0.0,-0.3994084501542383,0.9764390606124825,-0.7177673318576343,21
