,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
2354,68.44,0.00559779,57508,9960738478.67,0.0,-9963226915.08,81541679.27,-105928.1,80.176,84030115.68,10082664543.62,-48468189.28,-9976353399.54,57842954.8,59439.68,56.0611,0.0,10003775876.35,0.0,-9975848602.88,43605347.07,-20697.04,0.13308,15678073.6
2355,68.38,0.00560611,130925,9960479386.01,0.0,-9963226915.08,81696138.33,154459.06,80.0081,84443667.4,10084627760.39,-50520354.8,-9976353399.54,57754006.05,-88948.75,55.8208,0.0,10002075951.25,0.0,-9975848602.88,43634035.77,28688.7,0.139991,17406687.4
2356,68.23,0.00558209,166145,9964962742.29,0.0,-9963226915.08,81629378.09,-66760.24,78.327,79893550.88,10080320323.66,-46176877.24,-9976353399.54,57790046.88,36040.83,55.6149,0.0,10001900464.34,0.0,-9975848602.88,43620187.82,-13847.95,-0.122403,17568326.36
2357,67.88,0.0055615,29191,9961135120.3,0.0,-9963226915.08,81460343.4,-169034.69,76.5754,83552138.18,10078479380.44,-44242583.59,-9976353399.54,57883397.31,93350.43,54.777,0.0,10007569186.7,0.0,-9975848602.88,43583529.23,-36658.59,-0.170029,11862945.41
2358,67.5,0.0054777,98644,9960271370.26,0.0,-9963226915.08,81038488.38,-421855.02,75.3332,83994033.2,10078361342.92,-43901797.28,-9976353399.54,58106146.1,222748.79,54.4016,0.0,10008554559.03,0.0,-9975848602.88,43523720.23,-59809.0,-0.0454412,10817764.08
2359,66.33,0.00544017,12920,9963599680.36,0.0,-9963226915.08,80575320.28,-463168.1,77.0006,80202555.0,10077765024.9,-43066620.0,-9976353399.54,58345005.36,238859.26,54.7264,0.0,10005823357.44,0.0,-9975848602.88,43463819.56,-59900.67,-0.0397585,13489065.0
2360,65.62,0.00547265,52026,9963957124.91,0.0,-9963226915.08,79191635.18,-1383685.1,77.5207,78461425.35,10077607033.77,-42168302.55,-9976353399.54,59085331.68,740326.32,54.7625,0.0,10005625306.44,0.0,-9975848602.88,43231080.76,-232738.8,-0.0295683,13454377.2
2361,66.26,0.00547626,61956,9965640256.62,0.0,-9963226915.08,78358386.06,-833249.12,77.6542,75945044.52,10076297281.08,-40424741.66,-9976353399.54,59519139.88,433808.2,54.3398,0.0,10005242050.14,0.0,-9975848602.88,43088144.4,-142936.36,0.0192764,13694697.14
2362,66.42,0.00543398,46101,9964500538.77,0.0,-9963226915.08,79105336.35,746950.29,78.6143,77831712.66,10078319899.38,-42844842.42,-9976353399.54,59121657.42,-397482.46,54.5108,0.0,10004363257.5,0.0,-9975848602.88,43222784.38,134639.98,-0.0325588,14708129.76
2363,66.17,0.00545108,68518,9962974094.38,0.0,-9963226915.08,79299542.44,194206.09,79.2418,79552363.14,10078791259.02,-43423137.72,-9976353399.54,59014721.76,-106935.66,54.4913,0.0,10005422418.37,0.0,-9975848602.88,43259590.07,36805.69,-0.0074239,13685774.58
