,Gen,Price,Mismatch,Dividends,RDividend,Volume,Rep,Pos+,Pos-,NegW_per,Num_NT,Num_VI,Num_TF,Mean_NT,Mean_VI,Mean_TF,WShare_NT,WShare_VI,WShare_TF,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns,MeanReturn,Spoils,TimeA,TimeB,TimeC,TimeD,TimeE,TimeF,TimeG,TotalTime,PerSpoils
0,0.0,99.47,1006.2779534950678,0.0038185470012542513,1.4926707937324788,1077883.7090322375,0.0,50000000.00000003,0.0,0.0,41.0,27.0,32.0,95.80500086972549,95.80500086972546,6.53125,34.1296384637829,33.37329527024954,32.4970662659676,58807805.58615916,0.0,0.0,99806509.95522052,-532830.1469059866,95.28386863946808,40635552.411629856,-0.005311460861261895,37938581.808423884,0.0,-47685185.185185224,148199372.59136674,-815797.815690875,95.80500086972546,62016545.39986585,-0.0054745957305044795,49162595.97916796,0.0,-21093749.999999925,121760161.64485383,-710611.120992512,-0.040007708825906166,51031113.29146247,-0.005802284730493764,-0.005512570914111591,0.0,9.083300000156669e-05,2.1582999977454165e-05,1.6699999605407356e-07,0.0002351250000174332,0.0016909999999938918,0.00027537500000107684,0.0006733330000088245,0.0029874159999963013,0.0
1,1.0,99.84,5497.707353661506,0.0037790945455379935,-1.6463903062230312,1110352.375540795,0.0,50000000.000000015,0.0,0.0,41.0,27.0,32.0,96.70963272935715,96.70963272935721,6.53125,34.1338810509886,33.37296188969435,32.49315705931712,58401028.15898066,0.0,0.0,99443357.997789,-363151.95743151155,96.2106858098729,41197359.22123786,-0.0036399809159473194,37415924.1744002,0.0,-47685185.185185224,147640312.39347503,-559060.1978917718,96.70963272935721,62773747.56292723,-0.003772351988515364,50136887.91355181,0.0,-21093749.999999925,121287459.2706304,-472702.37422353355,-0.03233606573208306,50250533.99156917,-0.003882226831609513,-0.003753239798552593,0.0,5.745800001477619e-05,2.0582999979978922e-05,0.00024195800000370582,0.00023454199998695913,0.0013714160000404263,0.00028554200002872676,0.0006710420000217709,0.002882541000076344,0.0
2,2.0,99.47,2326.4145530902024,0.003774218885717778,-0.21107576830061975,1128011.008198148,0.0,49999999.99999999,0.0,0.0,41.0,27.0,32.0,95.71044835337935,95.7104483533793,6.53125,34.13312120797811,33.37320691391172,32.49367187811019,58934554.3598792,0.0,0.0,99598387.3802185,155029.3824294987,95.21815122654772,40515034.30462466,0.0015596939626251424,38253118.4931177,0.0,-47685185.185185224,147874856.92251256,234544.5290376544,95.7104483533793,61707777.38583105,0.0015886211918366285,48759033.60191077,0.0,-21093749.999999925,121481171.90512094,193712.63449056586,-0.03160576058234141,51446050.12790473,0.0015971393877209287,0.0015794868505428954,0.0,5.8749999993779056e-05,2.104199995756062e-05,0.0001059589999954369,0.0002396659999703843,0.00164341599997897,0.0002944580000416863,0.0006862910000222655,0.0030495819999600826,0.0
3,3.0,99.38,171.41471543506486,0.0037882409092556205,0.5835033884002215,884691.6931715425,0.0,50000000.0,0.0,0.0,41.0,27.0,32.0,95.58696597372771,95.58696597372771,6.53125,34.13380448194356,33.372100045039815,32.49409547301666,58915567.78700975,0.0,0.0,99449588.66450389,-148798.71571464944,95.24080006689582,40501244.682143174,-0.0014946112826469868,38364504.35052384,0.0,-47685185.185185224,147646081.064134,-228775.85837864876,95.58696597372771,61544426.85813039,-0.0015470909872022998,48701509.560812786,0.0,-21093749.999999925,121298833.72981544,-182338.17530547408,-0.029496029166203478,51460920.08945656,-0.001500967080512791,-0.0015108146581939786,0.0,6.104099998083257e-05,2.224999997224586e-05,0.00011995900001693371,0.00025195799997845825,0.0013928340000006756,0.00028708299998925213,0.0006467080000334136,0.0027818329999718117,0.0
0,0.0,105.59,922.5012738861551,0.003954596572262522,0.18791182194320824,845711.6752473693,0.0,49999999.999999985,0.0,0.0,34.0,23.0,43.0,100.03290157245145,100.03290157245145,6.1395348837209305,32.52064825055476,32.985981886817356,34.493369862627965,55113110.969143294,0.0,-19852941.17647053,123075466.991801,-240109.26329943756,99.74580063848889,47959697.42078558,-0.0019516076114494685,28683415.22858875,0.0,-82065217.39130443,184540968.48046306,-377415.1142694354,100.03290157245145,73560235.55373289,-0.002045156245667971,57563823.39672606,0.0,0.0,103218700.00346892,-226965.54342993506,-0.01916813813447696,45511276.04552171,-0.0021988789889781507,-0.0020794504896570576,0.0,0.7282037920000448,2.166699999861521e-05,2.079999603665783e-07,0.00026362500000232103,0.0014267500000073596,0.00028187500004150934,0.000698334000048817,0.7308962510001038,0.0
1,1.0,105.57,-1524.7906020356459,0.003991963203186035,1.4936998718033492,710141.934400291,0.0,49999999.999999985,0.0,0.0,34.0,23.0,43.0,100.15526376149454,100.15526376149454,6.1395348837209305,32.52305417742972,32.98705985981152,34.489885962758756,55048460.94945931,0.0,-19852941.17647053,122925749.56639943,-149717.42540153512,99.79902212122373,48019263.38098634,-0.0012168835074477626,28449812.576120492,0.0,-82065217.39130443,184308868.17362598,-232100.3068370819,100.15526376149454,73783823.84832191,-0.001257716965225821,57749156.46852482,0.0,0.0,103075099.44224776,-143600.56122115048,-0.01700210849541051,45321327.82639673,-0.001391225358541507,-0.001301242198707026,0.0,6.574999997610576e-05,2.0875000018349965e-05,0.00015625000003183231,0.00022958400001016344,0.0013418749999800639,0.0002714579999860689,0.0006399579999651905,0.002725749999967775,0.0
2,2.0,106.42,-2410.255130656413,0.003946530580650761,-1.812949535193605,669073.5355909093,0.0,50000000.000000015,0.0,0.0,34.0,23.0,43.0,101.10162193169889,101.10162193169889,6.1395348837209305,32.523231711898916,32.9868118714348,34.489956416666224,54726518.316648945,0.0,-19852941.17647053,122920665.5069162,-5084.059483236688,101.08170206687501,48731813.26683801,-4.13868563034944e-05,28740667.695500135,0.0,-82065217.39130443,184298853.8157468,-10014.357879251242,101.10162193169889,74090929.35686801,-5.4334650190664375e-05,57857353.82568688,0.0,0.0,103070484.29492155,-4615.14732620328,-0.005310402976706759,45582022.64464056,-4.4774634625938445e-05,-4.5821593576194436e-05,0.0,5.720800004382909e-05,1.983299995345078e-05,0.00010774999998375279,0.00021770900002593407,0.0015054999999506435,0.00027512500003012974,0.0006490829999847847,0.0028322079999725247,0.0
3,3.0,106.11,-3399.077093502623,0.003958097577347542,0.4590021414448275,1618268.24107237,0.0,49999999.99999996,0.0,0.0,34.0,23.0,43.0,99.9509821103547,99.95098211035469,6.1395348837209305,32.518030846932035,32.983732993740375,34.49823615932764,55901499.65931009,0.0,-19852941.17647053,123311272.75995745,390607.2530412792,99.81281289966499,47418863.78653168,0.003178858722600465,30201137.149809796,0.0,-82065217.39130443,184896814.44367263,597960.6279257238,99.95098211035469,72418533.68899034,0.0032445162601148687,56156343.0246826,0.0,0.0,103439376.47032739,368892.175405853,-0.004389114556202994,47154240.846770845,0.0035790299310537086,0.0033660335758636728,0.0,5.700000002661909e-05,2.020800002355827e-05,0.00010312499995279722,0.00022649999999657666,0.001512208000008286,0.00027583299998923394,0.0006485830000428905,0.0028434570000399617,0.0
0,0.0,103.23,-1455.624761738407,0.00416128017387979,0.9181588036992178,685185.802552039,0.0,50000000.00000001,0.0,0.0,28.0,37.0,35.0,104.77962511150251,104.77962511150248,5.857142857142857,33.42167210222614,34.18551569128686,32.39281220648695,39236343.350912556,0.0,-28571428.57142854,130863227.96193182,-123831.20470716486,105.50684543777061,63138862.45350069,-0.0009452690731185509,52854311.203099474,0.0,0.0,101294974.06143905,-94093.70078581572,104.77962511150248,48505476.38861918,-0.0009280458225188724,55846739.60061807,0.0,0.0,101467765.110967,-89876.22218754547,-0.007554870081134234,45683120.71208776,-0.0008849788489945965,-0.0009177948919532857,0.0,9.054200000946366e-05,1.995799999576775e-05,1.6699999605407356e-07,0.00018254200000455967,0.0013083329999972193,0.0002755000000433938,0.0006934170000363338,0.002570459000082792,0.0
1,1.0,103.65,2798.794368968811,0.004159276237441352,-0.08271468119212,495036.22104872623,0.0,49999999.999999985,0.0,0.0,28.0,37.0,35.0,105.38979281063845,105.38979281063845,5.857142857142857,33.42191828769532,34.185852701354236,32.39222901095047,39479615.61852957,0.0,-28571428.57142854,130946634.37584181,83406.41390999885,105.94705138749441,63156576.837809026,0.0006373169514954704,52828462.47605183,0.0,0.0,101359787.59171866,64813.530279546976,105.38979281063845,48732725.513267495,0.0006398494187898723,55691068.389894865,0.0,0.0,101529860.31270583,62095.20173883268,-0.0015611918218730266,46028714.41572717,0.000611969553835867,0.0006293823752135379,0.0,8.491700003787628e-05,2.1625000044878107e-05,0.0002757499999574975,0.00019249999996873157,0.0013754170000197519,0.0002653340000051685,0.0006326250000370237,0.0028481680000709275,0.0
