,Gen,Price,Mismatch,Num_NT,Num_VI,Num_TF,Mean_TF,Mean_VI,Mean_NT,Dividends,RDiv,WShare_TF,WShare_VI,WShare_NT,Pos+,Pos-,Rep,Volume,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns
24,24.0,107.2,-10257.761257793027,33.0,36.0,31.0,2.0,103.02363742810563,103.02363742810562,0.004073311909303538,0.2067488379830005,30.61572033052037,37.738900202550866,31.645379466928667,49999999.999999985,817910.1351466408,0.0,2278232.0915878494,80469070.43224047,2656968.6814460573,0.0,100526116.947613,-631627.6301471478,104.79530807023015,26492577.80958843,-0.006443390102116585,4558267.037569801,0.0,0.0,109892809.92086798,-452364.49271290255,103.02363742810563,104419981.83343478,-0.00409750766346356,72700055.4854171,0.0,0.0,103529788.68243362,-130191.69432194531,-0.008875739644970349,30540917.477922328,-0.0012559494401673558
25,25.0,107.19,-7242.49469080408,33.0,36.0,31.0,2.0,103.1618829391051,103.16188293910511,0.00407601374533896,0.09902768902671102,30.67559361612973,37.602915517588805,31.72149086628138,50000000.000000015,780689.6343602985,0.0,1611200.1121183806,80171940.01778063,2535821.875972133,0.0,100290652.6195361,-235464.32807690403,104.91998477877277,27839506.981148466,-0.0024615863102766204,3599401.085345956,0.0,0.0,108978248.87100445,-914561.0498634991,103.1618829391051,105373256.71457097,-0.008322282927947067,74271908.51144266,0.0,0.0,103240972.96333937,-288815.7190942019,-9.32835820895983e-05,28970264.248113308,-0.0027896871303399727
26,26.0,107.33,22710.69461064844,34.0,36.0,30.0,2.0,103.23031042489866,103.23031042489868,0.00408175318458771,0.21726086948571466,29.675302150619363,37.586925496810814,32.73777235256985,50000000.000000015,965460.7969070298,0.0,2469030.74969701,80800990.28745706,3047732.5685891616,0.0,100497081.17441899,119654.42712395068,104.8651832709605,26942644.68356141,0.0012783633786283954,4561539.061704444,0.0,0.0,108972657.799917,-5591.071087534229,103.23031042489866,104552902.89321691,-5.130446641648802e-05,71556578.16852786,0.0,0.0,103242172.75955597,1199.7962165772915,0.0013060919861926923,31727478.401216865,1.162131837912197e-05
27,27.0,107.5,8153.538047691269,34.0,36.0,30.0,2.0,103.37566913375757,103.37566913375757,0.004074626725745752,-0.28342617449559926,29.723038767390925,37.68108530227959,32.595875930329434,49999999.99999998,1074822.8730866998,0.0,1312084.6583325642,80577254.97413813,3398337.025200595,0.0,99941318.04650667,-555763.1279122895,104.94693953832042,28265390.3150904,-0.0059794933653194585,4818569.708619314,0.0,0.0,109114441.95492126,141784.15500425466,103.37566913375757,104465624.26348472,0.0013010984394301673,71117838.07757717,0.0,0.0,103284056.56974474,41883.810188770294,0.0015839001211217507,32220514.89546442,0.0004056850903972625
28,28.0,107.34,-15680.246559184088,33.0,36.0,31.0,2.0,103.1951823629937,103.19518236299369,0.004083071578181754,0.32273827819445994,30.414709194341345,37.75062885395056,31.83466195170817,50000000.000000015,868751.8742926999,0.0,1667395.972467293,81371248.5841811,2825812.9147448004,0.0,100536084.3192059,-304412.4606555741,104.84819498642591,26438519.193831947,-0.0035863754790103884,4833420.893746105,0.0,0.0,109284193.97210401,169752.01718266433,103.1951823629937,104299448.40891713,0.0015557245598414435,71292645.64072897,0.0,0.0,102248663.07834741,29627.048084850754,-0.0014883720930232158,31988118.23329345,0.00018259435737018957
29,29.0,107.29,21766.590964031435,34.0,35.0,31.0,2.0,103.40905915363453,103.40905915363453,0.004099714478580749,0.6407883864004565,30.678454913037807,36.59759666585521,32.723948421106996,50000000.0,945889.34928391,0.0,3173383.1117767943,81482388.94590452,2984837.3024903145,0.0,100446413.48471794,-353029.33041406557,104.82822060174333,27326869.731655035,-0.0030771854882618477,1756911.4611142424,0.0,0.0,109126989.47829509,-151316.51642053554,103.40905915363453,107325667.5834059,-0.0013846894408104454,71922798.46407649,0.0,0.0,103280763.87402241,1032100.7956749311,-0.00046580957704489556,31347116.777767144,0.015037698080911805
30,30.0,107.53,-8762.2740534732,34.0,34.0,32.0,2.0,103.83056209300096,103.83056209300096,0.00410789516927963,0.31049635005862203,31.68286988420884,35.64168144326693,32.675448672524226,50000000.00000006,853987.1020261466,0.0,2293836.770852919,82053475.74766386,2700859.7964962223,0.0,100198301.13619909,-248112.3485188379,104.92270415926978,27691011.36095631,-0.0027160163864397807,10753.0,0.0,320067.1571525515,109294166.57883203,-44496.576716154814,103.83056209300096,109848222.66132881,-0.0004069610459097417,71633134.054102,0.0,0.0,103226749.2304709,-11805.911603750661,0.002236927952278922,31672605.225338347,-0.00011446935971175168
31,31.0,107.81,17769.613204193593,34.0,34.0,32.0,2.0,104.0377486466041,104.0377486466041,0.004111045979998182,0.115491362517049,31.640161834274906,35.646064946836084,32.71377321888894,49999999.99999994,1129838.522232274,0.0,2045884.7147795944,81076496.31342137,3582585.031819456,0.0,100528095.22719307,329794.09099398507,105.35402544218441,31456413.92350541,0.0042463737895082,822231.5018723981,0.0,0.0,109538908.50417626,244741.92534427345,104.0377486466041,109326981.98975313,0.002239295408028434,70884871.87556987,0.0,0.0,103305739.27944024,78990.048969456,0.002603924486189957,32507392.789566442,0.000765825302193997
32,32.0,107.95,-9507.67621752758,34.0,34.0,32.0,2.0,104.1175469958953,104.1175469958953,0.004165546151460652,2.09821661268958,31.680881086193295,35.860764388634294,32.458354525172474,50000000.00000003,1097152.5018359078,0.0,1371322.9569525337,81078245.01184213,3483459.1933290074,0.0,99698438.75701748,-829656.4701755687,105.54841407306357,32863066.012508355,-0.007399612438951295,1032401.9236235844,0.0,0.0,110149213.49162543,610304.9874492139,104.1175469958953,109263038.50447987,0.005571581785717225,70777803.6427473,0.0,0.0,103392264.66513632,86525.38569601392,0.001298580836657015,32660743.285411842,0.0008375704831613031
33,33.0,109.17,23824.927995282997,34.0,34.0,32.0,2.0,105.49783420045013,105.49783420045013,0.004187588685948371,0.833752187435439,31.662382494251297,35.871346406011035,32.4662710997378,49999999.99999992,1011125.6417503741,0.0,1808353.6629778976,81935167.15848714,3246605.479702598,0.0,99825683.41520996,127244.65819246847,106.60703106808712,33366047.76860944,0.0019750954777860217,10917.0,0.0,303731.95315931155,110295440.42810343,146226.93647791445,105.49783420045013,111827384.24506986,0.0013275350031349228,71539850.14773986,0.0,0.0,103438546.92815918,46282.263022834435,0.011301528485409884,32271889.720878292,0.0004476376143364949
34,34.0,110.01,-19506.18534552407,34.0,34.0,32.0,2.0,106.0560898442936,106.0560898442936,0.004159953300588014,-1.0538834105815027,31.566867650207058,36.034910923357096,32.3982214264359,49999999.99999998,839941.0806700201,0.0,2647025.7313600574,82579670.08991182,2717703.4789561443,0.0,100278357.29376715,452673.87855718023,107.45087923237008,31177088.64835057,0.005667374868816373,2618250.438244701,0.0,0.0,111534569.29191053,1239128.863807097,106.0560898442936,110084764.35139668,0.011234633625810023,68659526.25876637,0.0,0.0,103811739.8686182,373192.94045907445,0.007694421544380381,35404590.357029885,0.0036078710647894224
35,35.0,109.34,-12670.576556882632,34.0,34.0,32.0,2.0,105.35618803146873,105.35618803146873,0.00416212653440258,0.07666301796973082,31.43238346321749,36.16935668488522,32.398259851897244,49999999.99999995,1049278.2084351173,0.0,1663356.3095591594,82333202.4760581,3374355.2738322266,0.0,100952350.1083693,673992.8146021488,106.61906728281174,32808342.81058896,0.006954697725483462,1506584.5666812304,0.0,0.0,112703014.7896414,1168445.4977309108,105.35618803146873,110530241.93143761,0.010476083828977117,69417670.63628024,0.0,0.0,104064116.61579618,252376.74717801064,-0.00609035542223435,34434884.744014286,0.0024311002541470205
36,36.0,109.15,-11414.67657985077,34.0,34.0,32.0,2.0,105.41122798356902,105.41122798356902,0.0041707744983573184,0.32356836981671283,31.533424046515073,36.14462150179993,32.32195445168488,50000000.0,982342.6202035752,0.0,3141785.124411487,80978698.0353067,3153608.735153536,0.0,100187774.90319522,-764575.2051740867,106.88406092291105,33344172.818187132,-0.007008738047562142,10915.0,0.0,967526.1254999972,112036826.49811889,-666188.2915225029,105.41122798356902,112805679.80464709,-0.00591100684188381,73721367.15619387,0.0,0.0,103852555.38029444,-211561.23550172988,-0.001737698920797448,30075425.275591027,-0.002032989299114622
37,37.0,109.4,-8681.308714447518,34.0,34.0,32.0,2.0,105.63024883564826,105.63024883564826,0.004181570094413767,0.40462612345968274,31.521228575740487,36.08947083812475,32.38930058613479,49999999.99999997,946537.472505793,0.0,1649404.35160815,81586130.4439491,3045623.5144745223,0.0,100381441.50069153,193666.59749630795,107.03218472178759,31162866.92463061,0.002022414527702358,10940.0,0.0,249790.8472490711,111849068.6791472,-187757.81897179782,105.63024883564826,112350615.68544672,-0.0016758580623929958,72440958.11832026,0.0,0.0,103796792.4317849,-55762.94850960327,0.0022904260192395665,31428795.62486908,-0.00053694344164577
38,38.0,109.81,5938.75243981968,34.0,34.0,32.0,2.0,105.90366124339687,105.90366124339687,0.004179002585401434,-0.10373866941544055,31.493821228087956,36.11739208621012,32.38878668570194,49999999.99999994,924742.4198357613,0.0,2100349.6061290028,81081269.47106768,2986646.033004852,0.0,100537824.7586256,156383.25793407814,107.75678149954841,31984316.956477914,0.00209284136468773,1676148.101736657,0.0,0.0,112111764.83819768,262696.15905049443,105.90366124339687,111110760.4983846,0.0023486664855839876,71283597.55338043,0.0,0.0,103869753.7431894,72961.31140446058,0.0037477148080438116,32708015.663175546,0.0007029245287363828
39,39.0,109.88,-14100.54091934189,34.0,34.0,32.0,2.0,105.83863576288547,105.83863576288547,0.004191355571378941,0.4629766762368406,31.43721041954963,36.227079019601966,32.33571056084852,50000000.000000015,909078.5408137075,0.0,1676019.5777942096,80559772.4209651,2937927.94307677,0.0,100671788.34851785,133963.58989224143,107.87556955928993,34170169.41827074,0.0020418774665644547,2700602.967169638,0.0,0.0,112786908.60012136,675143.761923641,105.83863576288547,110161443.90886247,0.006022059887274313,70813834.82844786,0.0,0.0,103991613.21655603,121859.47336662188,0.0006374647117748378,33202705.01697067,0.0011731949771240512
40,40.0,110.18,-23437.468435926465,34.0,34.0,32.0,2.0,106.15149108104785,106.15149108104785,0.004220822505310792,1.1097742080107407,31.428213809301692,36.23215432408293,32.33963186661538,50000000.000000015,767866.1626025424,0.0,1513820.7504964871,80106903.85943408,2488338.052810239,0.0,100736959.08436562,65170.73584778694,108.39279002076371,29752572.1544614,0.00099760095635152,2654711.514447212,0.0,0.0,112862046.876032,75138.27591076493,106.15149108104785,110512442.50552796,0.0006661967850999696,71834372.19207281,0.0,0.0,104016539.8454185,24926.62886258494,0.0027302511831088783,32276906.26366061,0.0002396984534769818
41,41.0,110.87,-8216.737650694558,35.0,34.0,31.0,2.0,106.89777922606038,106.89777922606036,0.0042328288977030466,0.44529201624413084,30.38524277345673,36.22509893501308,33.389658291530125,50000000.000000015,738071.824691657,0.0,1744800.0305822769,80941330.2927854,2338000.662958972,0.0,101328977.70863447,496824.6539701249,108.9066107003327,33458923.69815554,0.005097397895643653,2051951.3770793811,0.0,0.0,113167154.01997517,305107.14394311607,106.89777922606038,111811634.59023146,0.0027033635521270206,71389352.2120746,0.0,0.0,104109592.78635257,94737.07639868846,0.006262479578870828,32926460.592901863,0.0009108033246987658
42,42.0,111.27,4448.963745526737,35.0,34.0,31.0,2.0,107.20185661420783,107.20185661420783,0.004193403529654157,-1.4848498969207922,30.337783975249284,36.31915942389135,33.343056600859335,49999999.999999955,837680.5103721305,0.0,1611150.6492379322,80828371.50726369,2663106.0111173415,0.0,101546591.59427594,217613.8856414667,109.34203788848306,32388373.820274077,0.0032262396564864157,2775463.22170244,0.0,0.0,113863585.96731092,696431.9473357797,107.20185661420783,111495831.88290021,0.006154011323929314,70369614.95471974,0.0,0.0,104315812.80497645,206220.01862376832,0.0036078289889058812,34069067.124633774,0.001980797476049691
43,43.0,110.38,-17055.800826630264,36.0,34.0,30.0,2.0,106.20335826837753,106.20335826837753,0.004246431269692318,2.0011447579528916,29.368328711292225,36.41834134293977,34.213329945767974,49999999.99999994,739163.6737285304,0.0,1708963.9377943282,80025156.12746765,2266357.9529487547,0.0,101388511.99665989,-236503.74978036474,108.70724700424412,30586770.21098352,-0.0017251637276785488,3242144.345041752,0.0,0.0,114271295.1046027,407709.13729168475,106.20335826837753,110141710.17652594,0.003580680634884745,70857100.17701581,0.0,0.0,104436878.34840593,122867.15233669778,-0.007998562056259595,33311372.479891215,0.0011778585726682099
