,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
26,26,38751391.431391455,-1.2914543967996412e-05,7.588287301168164,0,100,0,0.0,15.16,0.0,10.00952815697176,0.0,10.00952815697176,0.0,-0.06593036685823785,0.9943138135586921,-1.2978648864584288,0
27,27,75052386.23726371,-6.668361033404434e-06,7.875364504883104,0,100,0,0.0,15.17,0.0,10.009925360470021,0.0,10.009925360470021,0.0,-0.06541232016738947,0.9993157787707173,1.310172088232132,0
28,28,148612190.76166376,-3.367800888058853e-06,8.172054436365094,0,100,0,0.0,15.04,0.0,10.0103225797304,0.0,10.0103225797304,0.0,-0.0648983688158411,1.0010874470484679,0.4482686865548999,0
29,29,294332380.88624173,-1.70051330227226e-06,8.46883804350167,0,100,0,0.0,14.83,0.0,10.010719814753402,0.0,10.010719814753402,0.0,-0.06438848042950096,1.003156215614004,0.5259585312872941,0
30,30,543043196.8431349,-9.217240794975931e-07,8.734834377295003,0,100,0,0.0,14.83,0.0,10.01111706553968,0.0,10.01111706553968,0.0,-0.0638826228901983,1.0037224663973103,0.12855289042403173,0
31,31,1083831620.0202963,-4.618391307568709e-07,9.034961817095281,0,100,0,0.0,14.77,0.0,10.011514332089886,0.0,10.011514332089886,0.0,-0.06338076433365904,1.00303607959257,-0.20171900407990823,0
32,32,2163178705.8471227,-2.314074723699101e-07,9.335092399123502,0,100,0,0.0,14.77,0.0,10.011911614404655,0.0,10.011911614404655,0.0,-0.06288287314750042,1.0055085871930105,0.6313923188682785,0
33,33,4171745614.913603,-1.199966697227778e-07,9.62031781811317,0,100,0,0.0,14.64,0.0,10.01230891248462,0.0,10.01230891248462,0.0,-0.06238891796923873,1.0140053526160437,2.214925561411227,0
34,34,8204750017.49337,-6.101531973026179e-08,9.914065353496719,0,100,0,0.0,14.67,0.0,10.01270622633035,0.0,10.01270622633035,0.0,-0.061898867684313894,1.0073193125485114,-1.7653188300722478,0
35,35,16064156265.226301,-3.116474360998529e-08,10.205857920116035,0,100,0,0.0,14.61,0.0,10.013103555942505,0.0,10.013103555942505,0.0,-0.061412691424129535,1.0052413489118812,-0.5665743684149555,0
36,36,31306020486.49445,-1.5992297009232137e-08,10.495627865106599,0,100,0,0.0,14.53,0.0,10.013500901321686,0.0,10.013500901321686,0.0,-0.06093035856410982,1.0099803669911183,1.2264972322260552,0
37,37,61918056885.875626,-8.086091041082012e-09,10.791817318847588,0,100,0,0.0,14.45,0.0,10.013898262468592,0.0,10.013898262468592,0.0,-0.06045183872176813,1.0090208238621208,-0.27215417990303375,0
38,38,122037641583.29572,-4.102790799850737e-09,11.086493806170814,0,100,0,0.0,14.45,0.0,10.01429563938373,0.0,10.01429563938373,0.0,-0.059977101754795925,1.0027703372150851,-1.6597303676954294,0
