,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
10,10,24.36574378352608,-0.010250012431948008,1.386779673100889,99,0,1,6.3232323232323235,0.0,11.0,228.25619383100883,230.56181195051397,0.0,0.0,-1.7023680432591553,0.9823799926264367,0.2848324859734411,1
11,11,32.64017116768245,-0.01029465872884927,1.5137524275629832,99,1,0,6.3232323232323235,15.0,0.0,294.7369099259553,297.7140504302579,0.0,0.0,-2.214447838072218,0.9844306398918192,0.5314898513845828,1
12,12,42.60544564481997,-0.000862951480272045,1.6294651123033375,99,1,0,6.3232323232323235,14.0,0.0,373.3496604841415,377.1208691759005,0.0,0.0,-2.818384621853216,0.9832428637197186,-0.34001780519987923,1
13,13,54.38687534566568,0.0028097629611565367,1.7354941082890356,100,0,0,6.31,0.0,0.0,465.02560397428044,465.02560397428044,0.0,0.0,-3.5208131628921957,0.9864348114169476,0.8381111092586828,1
14,14,69.13393111130875,-0.0013520194652727469,1.8396912525486984,81,13,6,6.345679012345679,15.23076923076923,16.666666666666668,574.02583192951,708.673866579642,0.0,0.0,-4.356219411119683,0.9835525058715516,-0.7938648733426543,34
15,15,67.15754958845753,0.0023094401219694305,1.82709484143227,89,9,2,6.258426966292135,17.22222222222222,15.0,570.0627474939981,640.5199410044924,0.0,0.0,-4.290454421197871,0.9777105837496324,-1.5922657440556724,19
16,16,62.788394425642004,0.001560177206911817,1.7978793777708957,92,7,1,6.206521739130435,16.428571428571427,19.0,545.1889966202974,592.596735456845,0.0,0.0,-4.059908247785399,0.981102281375742,0.8970248153718815,11
17,17,62.78815465691603,-0.0005217584113239582,1.7978777193364925,96,4,0,6.270833333333333,14.75,0.0,552.960922323578,576.0009607537271,0.0,0.0,-4.089252144228021,0.9791768912764454,-0.5400140791931608,8
18,18,67.9361038217886,-0.0006708296886017706,1.832100636186968,97,3,0,6.247422680412371,13.666666666666666,0.0,600.0943845263022,618.6540046662909,0.0,0.0,-4.429521245209994,0.9766267583126311,-0.7098415460674421,4
19,19,75.38262545128168,-0.0018821145190628386,1.8772712591304068,98,1,1,6.26530612244898,15.0,15.0,664.4687476788265,678.0293343661494,0.0,0.0,-4.903391655111557,0.9769535287754905,0.06773281988383129,3
20,20,85.46130230825904,-0.0023920450287242545,1.9317695065595917,99,1,0,6.2727272727272725,17.0,0.0,748.9255279725616,756.4904322955167,0.0,0.0,-5.532269731752921,0.9767926976557219,-0.06434734158081068,2
21,21,98.64157269794535,-0.00012037874218151501,1.9940599878434995,100,0,0,6.31,0.0,0.0,857.0530141404811,857.0530141404811,0.0,0.0,-6.3432959304993695,0.9774804249771706,0.16548694798757668,1
22,22,115.56157017513738,0.000363333650099662,2.0628134341220123,100,0,0,6.31,0.0,0.0,993.696710775991,993.696710775991,0.0,0.0,-7.37333458483248,0.9750941483899248,-0.6666863367563177,0
